year,quarter,kelp_area_m2,count_cells_kelp,count_cells_no_clouds,count_cells_historic_footprint
1999,1,492,8,4175,4190
1999,2,12719,149,4131,4190
1999,3,573358,2628,4033,4190
1999,4,58368,614,4188,4190
1999,max,573358,2628,4188,4190
2000,1,7123,74,3901,4190
2000,2,21075,107,4056,4190
2000,3,181224,1789,4189,4190
2000,4,59250,793,4189,4190
2000,max,181224,1789,4189,4190
2001,1,1220,16,4188,4190
2001,2,17307,104,4164,4190
2001,3,155853,1446,4124,4190
2001,4,100387,1097,4187,4190
2001,max,155853,1446,4188,4190
2002,1,811,8,4185,4190
2002,2,20234,186,4186,4190
2002,3,130994,1714,4184,4190
2002,4,107587,1266,4190,4190
2002,max,130994,1714,4190,4190
2003,1,331,2,4189,4190
2003,2,4327,34,4179,4190
2003,3,13748,126,4170,4190
2003,4,3500,78,4180,4190
2003,max,13748,126,4189,4190
2004,1,28366,83,4184,4190
2004,2,16037,146,4189,4190
2004,3,72229,826,4190,4190
2004,4,16687,203,4186,4190
2004,max,72229,826,4190,4190
2005,1,923,12,4182,4190
2005,2,25690,161,4189,4190
2005,3,18233,148,4116,4190
2005,4,7165,56,4145,4190
2005,max,25690,161,4189,4190
2006,1,967,8,4179,4190
2006,2,7893,68,4169,4190
2006,3,27772,303,4025,4190
2006,4,118590,921,4181,4190
2006,max,118590,921,4181,4190
2007,1,1955,58,4189,4190
2007,2,10333,97,4121,4190
2007,3,150602,2175,4177,4190
2007,4,28266,439,4166,4190
2007,max,150602,2175,4189,4190
2008,1,1278,16,4126,4190
2008,2,37975,674,4186,4190
2008,3,554415,3058,4118,4190
2008,4,360965,1637,3217,4190
2008,max,554415,3058,4186,4190
2009,1,9057,234,4190,4190
2009,2,18146,264,4189,4190
2009,3,271371,2680,4189,4190
2009,4,79550,1431,4188,4190
2009,max,271371,2680,4190,4190
2010,1,14067,38,3684,4190
2010,2,7492,80,4188,4190
2010,3,74741,1180,4131,4190
2010,4,17405,379,4177,4190
2010,max,74741,1180,4188,4190
2011,1,38192,377,4178,4190
2011,2,14815,136,4147,4190
2011,3,178020,1293,4172,4190
2011,4,75183,1546,4157,4190
2011,max,178020,1546,4178,4190
2012,1,786,8,4133,4190
2012,2,23133,118,4092,4190
2012,3,47348,186,844,4190
2012,4,411356,2151,4071,4190
2012,max,411356,2151,4133,4190
2013,1,20529,217,3245,4190
2013,2,18422,187,4190,4190
2013,3,550612,2787,4190,4190
2013,4,22043,528,4190,4190
2013,max,550612,2787,4190,4190
2014,1,1790,27,4179,4190
2014,2,4211,51,4190,4190
2014,3,19719,151,4187,4190
2014,4,3656,101,4190,4190
2014,max,19719,151,4190,4190
2015,1,1397,14,4190,4190
2015,2,2311,27,4190,4190
2015,3,9783,83,4161,4190
2015,4,1930,28,4190,4190
2015,max,9783,83,4190,4190
2016,1,10372,33,4190,4190
2016,2,932,12,4190,4190
2016,3,36250,231,4170,4190
2016,4,16653,181,4190,4190
2016,max,36250,231,4190,4190
2017,1,2046,13,4184,4190
2017,2,1591,14,4190,4190
2017,3,20419,207,4189,4190
2017,4,7579,128,4190,4190
2017,max,20419,207,4190,4190
2018,1,1005,13,4190,4190
2018,2,5279,42,4190,4190
2018,3,5903,65,4184,4190
2018,4,5437,67,4190,4190
2018,max,5903,67,4190,4190
2019,1,1599,10,4190,4190
2019,2,2521,15,4190,4190
2019,3,2115,26,4190,4190
2019,4,265,7,4190,4190
2019,max,2521,26,4190,4190
2020,1,679,14,4190,4190
2020,2,5435,48,4190,4190
2020,3,7735,74,4157,4190
2020,4,715,16,4190,4190
2020,max,7735,74,4190,4190
2021,1,1369,46,4189,4190
2021,2,15388,95,4190,4190
2021,3,42587,314,4190,4190
2021,4,5267,91,4190,4190
2021,max,42587,314,4190,4190
2022,1,2415,29,4190,4190
2022,2,2606,28,4190,4190
2022,3,3847,74,4190,4190
2022,4,921,21,4190,4190
2022,max,3847,74,4190,4190
2023,1,1525,39,4188,4190
2023,2,1249,8,4190,4190
2023,3,12064,144,4190,4190
2023,4,2774,35,4190,4190
2023,max,12064,144,4190,4190
2024,1,1954,12,4189,4190
2024,2,2045,25,4189,4190
2024,3,1362,36,4190,4190
2024,4,1503,20,4190,4190
2024,max,2045,36,4190,4190
2025,1,2519,14,4187,4190
2025,2,2609,16,4189,4190
2025,3,7820,147,4190,4190
2025,4,1939,83,4190,4190
2025,max,7820,147,4190,4190
